;userName;content;score;at
286;Renaldi Aldi;Mantap tabungan masa depan;5;2021-04-23 3.02.05
287;Metaria Lo;mudah sekali penggunaannya;5;2021-04-12 5.07.17
288;Subastian Schweinsteiger;Cocok untuk investor pemula;5;2021-03-31 16.24.04
289;Cynthia Wensen;infestasi mudah bagi pemula;5;2021-03-26 13.23.56
290;Vendi Perdana;"Pake kode refferal ""viohzeg"" agar dapat cashback guyssss";5;2021-04-12 3.17.51
291;pemburu Rupi'ah;Tolong percepat proses pbelian nya d proses;4;2021-04-05 17.27.43
292;A.F Channel;"kok ngak naik"" slado saya ya";5;2021-03-31 18.22.41
293;Muhammad Iqbal;RESMI, DIAWASI OJK, TERDAFTAR SEBAGAI APERD, JOSS;5;2021-05-14 2.51.01
294;Ari Alvaro;Kode videral dapetinnya dimana ya Tolong respon;5;2021-03-28 4.35.45
295;surya putra ahmad;mudah di pahami bagi pemula;5;2021-04-06 7.28.05
296;Taufik Hidayat;update dong untuk tampilannya;5;2021-04-04 13.05.53
297;TRI WIBOWO;sedang belajar invest;5;2021-05-21 18.52.31
298;Riski Sapanis;Masuk menggunakan Referral Code : BIBOX3 Dapat Cashback 25k;5;2021-04-18 7.42.17
299;cecep januardi;Tambahin bank bsi;5;2021-06-01 13.16.07
300;anak kalteng seruyan;sangat mantap ini aplikasi;5;2021-04-07 10.28.40
301;Deddy Leo;senangnya bibit semangat ya;5;2021-05-10 13.16.44
302;Valentino Nugroho;lumayan bagus untuk pemula;4;2021-04-12 10.06.39
303;Kelvin Alan;aplikasi bagus buat pemula;5;2021-04-09 11.02.51
304;Sul Asmi;Pemula ingin tahu lebih jauh;5;2021-05-06 13.53.04
305;Riorda Vasco;bagus, aman dan gak ribet;5;2021-04-23 7.50.56
306;Earty Pattikawa;sangat membantu untuk pemula;5;2021-04-11 3.45.05
307;Rony Rony;mudah cara nya bagi pemula;5;2021-04-19 2.21.13
308;Abdul Azis;selama ini belum ada kendala ??;3;2021-04-05 23.29.31
309;Firman Muhammad;Dapatkan cashback 25RB dengan Refferal Code : FIRMAN25RB;4;2021-03-29 15.17.38
310;Awal Munthe;Saya di mentorin donk kak..;4;2021-04-05 8.43.08
311;Rosanti Samosir;mantap baru dua hari join uadah dpt 400 rupiah;5;2021-04-18 5.11.30
312;dwi Fitriani astuti;bagus dan aman untuk pemula;5;2021-04-29 14.01.28
313;Ganjar Purnama;sejauh ini okee !!!;5;2021-03-22 11.04.02
314;Rahmat Afriyadi;rahbit Pakai kode Referal ini supaya dapat cashback 25k;5;2021-05-06 14.11.13
315;Achmad Anas;Kapan fitur SBN ditambahkan?;4;2021-05-09 0.05.23
316;BENTO'1986 BGD;Sejauh ini masih bagus,.;3;2021-04-26 8.56.36
317;Wayan Gandhi;Sangat berguna untuk pemula;5;2021-04-02 9.16.39
318;Dimas Satriadi;aplikasi investasi terbaik;5;2021-03-29 12.59.39
319;Yoga Dwimadara;Klo profit nya stabil sm cuan bintang 5 langsung;3;2021-04-12 9.02.20
320;Maura Karinda Makmur;Bismillah. smoga bagus ya;5;2021-04-12 11.58.44
321;Muhamad Farid;mudah dan gampang di akses;5;2021-03-26 23.58.17
322;Khilmy Official;aplikasi recomended untuk reksadana;5;2021-04-09 10.30.34
323;Agus Tianto;utk pemula bagus.;5;2021-05-10 13.16.05
324;nunosatriani/ OZZ;Jadi apresiasi di masadepan;4;2021-04-09 22.02.51
325;wak gondo;aplikasi membantuu banget;5;2021-06-03 7.31.25
326;Rh Zhe;awal untuk pemula yg good;5;2021-04-23 13.28.16
327;Imam Samudra;Mohon untuk di tingkatkan performa loadingnya. Perasaan jaringan bagus tapi loading lama. Mohon ya. Engga sabar buka aplikasi bibit yang loadingnya lama bnget, serasa mau banting ni hp. Aku ksini kirain ada update pada aplikasi, eh padahal sama kayak kmarin. Yaudahlah;4;2021-03-12 2.04.01
328;Muhamad Rifqi;rekomend banget buat investor pemula;5;2021-04-27 10.58.32
329;Taufikul Basari;Kalau mau c ash back 2 5 rb pakai aja k0de: recehin;5;2021-03-27 2.55.35
330;Vin;Tidak ada akun demo;3;2021-05-11 9.13.16
331;Gigih Eko Saputro;Sangat membantu, sekali;5;2021-04-14 6.25.33
332;DK Plat;bagus untuk pemula;5;2021-05-20 10.57.29
333;Syarief Gaming;Kenapa yah proses pencairan nya lama x, saya uda menunggu lebih dari seminggu tapi blom masuk rekeking..???? Apakah saya aja yang mengalaminya Sumpah saya sangat kecewa!!????;1;2021-03-22 12.43.55
334;Nova Joris;layanan kurang memuaskan;2;2021-03-27 10.21.06
335;nganjuk raya;kode referal JAYAMANDIRI dapat bonus 50rb;5;2021-03-29 4.04.13
336;Halim Wijaya;semoga tambah sukses lagi;5;2021-03-29 8.41.29
337;Surya Abadi;idcbbyf Pake kode ini insyaallah sukses;5;2021-04-20 2.38.28
338;Rahmawati Muthoharoh;sangat menginspirasi...;5;2021-04-06 5.46.33
339;Rifqi Hibatul Wafi;gampang banget investasinya;5;2021-03-28 8.24.15
340;Miko Wijaya;Bertele - tele dalam proses pembelian ataupun penjualan, memakan waktu 1-3hari untuk pembelian bentuk saham, penjualan saham memakan waktu 1-7hari. Dan value saham tidak terlock sesuai waktu penjualan tetapi mengikuti proses penjualan waktu berjalan, jika IHSG turun 7 hari berturut - turut jangan kaget nilai investasi kalian turun 7 hari berturut... Bad Experience;1;2021-03-24 13.40.44
341;kode BONUS: A??????????;duh kenapa ketika saya mau daftar tidak bisa padahal jaringan saya bagus, mohon bantuanya admin untuk menyelesaikan masalah saya yang alami ini, nanti saya kasih bintang lima kalau sudah di selesaikan ya, karena saya ingin sekali berinvestasi disini.;3;2021-03-18 2.25.20
342;D PRINCE;"Pakai kode ""cobabelireksadana"" untuk mendaftar di bibit dan dapat bonus";5;2021-04-05 23.09.35
343;Yoo;Sejauh ini masalah yg saya rasakan adalah tidak tersedianya mode malam, tema gelap atau sejenisnya. Terkadang sebelum tidur saya membuka aplikasi ini dan warna putih background aplikasi ini menyilaukan mata, meskipun kecerahan layar sudah diturunkan. Semoga bisa segera di tambahkan mode gelap;3;2021-03-20 16.01.11
344;Cucu Samsudin;Alhamdulillah aja dulu..;5;2021-05-06 13.38.56
345;Azkhiya Alfatih;Bagus banget aplikasinya;5;2021-04-18 5.34.56
346;bakuh wibowo;jelaa, mudah dimengerti;5;2021-04-06 11.27.55
347;Mistriani Suroto;aplikasi ini sangatt baik;5;2021-05-05 3.37.56
348;Muhammad Afdhal;mantaf ini aplikasinya,,;5;2021-04-05 5.01.01
349;Boris Hutasoit;WD 7 hari kerja, ampas;1;2021-04-26 18.02.55
350;Hanes Pro;Apk Nya Bagus Gampang DiPahami ,Pertahankan Kinerja Yg Bagus ini;4;2021-04-18 6.28.17
351;Sigit P;Tolong tambah jenis verifikasi lewat sms. Kalau lewat telepon/email terpaksa harus beralih aplikasi dulu dan setelah buka aplikasi bibit kembali perlu ngulang dari awal lagi. Ribet. Kalau verifikasi sms bisa dilihat lewat notifikasi.;4;2021-03-11 4.02.05
352;Dens Harianja;sejauh ini ok sih??;4;2021-05-10 13.43.14
353;Retno Susanto;Ini yg asli.....;5;2021-05-17 6.09.43
354;Umi Lestari;bismillahirrahmanirrahim baru mulai,moga konsisten amiiinnn;4;2021-04-14 21.37.48
355;Rahmad hidayatullah;Untuk sekarang mantap sih;5;2021-04-10 16.49.17
356;Shelly Oktaviani;"Fix beli Reksadana tersimple! Tapi produknya menurutku kurang banyak,but noprob lah?? Aku baru invest selama 5 Hari sudah profit 0,40% (3 hari produknya kebeli). Memang terbilang kecil sih dan bisa aja turun, tapi menurutku awal yang baik untuk investasi biar makin semangat???? Oh ya guys, yang mau Reksadana obligasi gratis senilai 25k, bisa pake kode ini "" shellyok "". Lumayan nambah pendapatan Reksadana kamu dengan modal 100k + free 25k???? Selamat menabung??";5;2021-03-22 18.47.05
357;Radia Ningkon;Apk bagus utk pemula berinvestasi;5;2021-04-15 3.10.21
358;Mohammad Taryono;terimakasih membantu ku menabung;5;2021-03-29 9.10.51
359;dimas ilham;Masih belajar investasi;4;2021-04-13 10.53.04
360;Albernad Aritonang;semoga bibit terjamin saham nya;5;2021-04-16 14.34.56
361;Arief Putra;Maaaf saya mau bertanya?? Kenapa saat saya memasukan nomer hp saya justru ada notif nomer hape sudah digunakan?? Padahal saya baru pertama kali mendownload?? Mohon pencerahannya?! Terimakasih?;3;2021-03-21 12.53.57
362;Dimas Fahmi;sangat mudah untuk berinvestasi;4;2021-04-10 11.41.52
363;Ary Sandhi;sangat bagus untuk pemula;5;2021-04-24 2.29.44
364;Evelline Dhea Monica Wijaya;membantu keuangan banget;4;2021-04-14 15.38.27
365;tanjung oky;belum pernah coba cairin;4;2021-03-30 1.38.42
366;Handokoivo Ivi;transaksi klo bisa dipermudah;3;2021-05-06 2.14.49
367;Amam Fajar;sangat membantu untuk menabung;5;2021-04-15 14.52.37
368;Rian Supriadi;Aplikasi ini pembohong;1;2021-03-26 8.41.06
369;riyan adityaprastoro;Apk bagus untuk pemula;5;2021-04-28 5.38.55
370;Faizi Rizal;rekomended banget untuk pemula;5;2021-04-16 0.24.22
371;Huda Lhatief;cocok buat pemula;5;2021-05-20 13.54.49
372;husnul khuluq;baru seminggu installed sepertinya mantab;3;2021-04-17 2.37.26
373;Andrean Zharfan;Investasi 200k Mudahan jadi berkah amin????;5;2021-05-07 3.30.01
374;Andri Hermawan;"Mungkin bagi orang bagus, Tapi bagi saya cuma buang buang uang????, 2 kali invest, invest pertama saat awal masukkan dana pasti naik stlh d tambah invesnya, minus trus. ""hmmm smoga hanya fkrnku saja"" pencairan lama smapai 2 minggu, 2 kali melakukan penarikan bukan untung, malah rugi ratusan ribu?? ini jadi pelajaran..ini memang untuk investasi jangka panjanh dngn niminal yg besar?? Fix UNINSAL";5;2021-03-12 5.54.55
375;Solusimal;pemula uang ingin berinvestasi;4;2021-04-07 14.36.08
376;ArmonJMR;Biar cepat banyak duit;5;2021-04-10 21.59.39
377;anisa maen;Sejauh ini aman kak .ok;3;2021-05-09 12.30.13
378;Rif'atun Nuroh;alhamdulillah investasi di bibit ama;5;2021-04-10 11.51.38
379;Agik Agik;Saya ada masalah, saat saya coba coba transaksi 100.000 terus saya jual kembali hari berikutnya 98.000 dan uangnya ga masuk rekening saya, dari tanggal 8 maret sampai sekarang 26 maret. Ga mungkin kan jam kerja selama itu;1;2021-03-26 8.34.00
380;Malau Lemon Tea Production;sagat mudah di gunakan;5;2021-03-30 13.27.06
381;Wiwi Kuntari;belum gabung lagi nyoba dftr tp ko pake selfi pegang ktp apakah aman;5;2021-04-20 1.22.58
382;Slamet Widodo;aplikasi yg bermanfaat;5;2021-04-18 6.09.29
383;Muhammad Hamsyi;luar biasa hijau terus;5;2021-04-08 4.19.23
384;SODAM;tabungan masa depan..;5;2021-04-05 3.18.06
385;yuliya liya;Menunggu pencairan malah logout sndiri;1;2021-05-09 14.16.59
386;Janah Jogja;semoga bermanfaat;4;2021-05-27 5.18.06
387;Ari Wisnu;mencoba investasi;5;2021-06-03 1.28.57
388;Asep Tidyanto;semoga semakin mantap;5;2021-04-07 13.54.22
389;harry wisnu;G bisa upload foto ktp;5;2021-04-01 17.47.04
390;Syauqi Zaka;Overall bagus, puas dengan fitur2nya, pengen kasih bintang 5 tapi ada yang mengganjal nih min, tolong diupdate dong aplikasinya masa untuk dana pensiun usia pensiunnya tidak bisa diedit, masa aku harus pensiun diusia 65 tahun? Tega amat min, sorry nih aku kasih bintang 2, biar direspon, soalnya aku lihat keluhan yg kasih bintang 3 ga ada yg direspon;2;2021-03-21 21.00.04
391;4181_BKA_ MICHAEL BRAMULIA TARIGAN;bagus, doain gua kaya;5;2021-03-23 9.55.22
392;Irawan Irawan;Blom bisa menggunakan tp;2;2021-04-24 4.00.26
393;idris al fahri;keren banget dah;5;2021-06-07 3.57.03
394;Nisa rahma;cocok buat pemula nih;5;2021-04-30 21.53.09
395;Lita course;sangat mudah dan bagus;5;2021-04-14 22.11.55
396;Nurwanto Wawan;Bagus buat pemula...;4;2021-04-06 15.32.08
397;Rizal Hidayah;Dana lama cairnya;1;2021-05-21 12.57.40
398;Jhon Nie;bagus untuk investasi;4;2021-04-17 21.03.26
399;Profit kusuma;keren abis dah untuk pemula;5;2021-04-29 14.29.22
400;rika nur laili;sangat membantu;5;2021-05-10 1.33.56
401;baby boy;Pencairan dana lama bet;1;2021-05-03 12.09.56
402;Suyatri Pole;aplikasinya memuaskan;4;2021-05-27 5.33.50
403;Citra Dewi;aplikasi bibit luar biasa ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////// semoga ke depannya lebih baik lagi ???????????????????????????????????????;5;2021-03-23 23.05.23
404;Amin Shodiq;Pencairan lama bngat sampe ke rek 1 minggu lebih belum cair ke rek kita. Mungkin 2 mingguan blum juga cair . Bukanya kalian mengatakan waktu adalah uang.;1;2021-03-14 9.35.49
405;Kris Wanto;Bisa dipercaya;5;2021-06-03 5.15.30
406;Ikhfan Maulana;Min, saya gak punya. Rekening apa saya masih bisa pakai akun Dana, kalau gak tarik lewat indomaret maaf min pemula masih pelajar soalnya, semoga ajh direspon;4;2021-03-26 2.27.52
407;M jaylani ishaq Efendi;Baru mencoba;3;2021-05-13 10.10.10
408;B B;Aplikasi memudahkan untuk investasi reksadana. Tapi saya mau memberi saran, saya berharap login dapat menggunakan password dan otentifikasi bisa menggunakan semacam google authenthicator dibandingkan login melalui sms. Terima kasih;5;2021-03-16 8.16.27
409;adadi motor;belajar nabung;5;2021-05-20 15.00.57
410;dhian saraswaty;Pake kode CASHBACKDIBIBIT dapatin cuan 25 ribu gaes.;5;2021-03-28 17.46.08
411;didik harminto;proses WD sangat lama;1;2021-04-30 6.25.39
412;egand nd;Mari invest dri muda!;5;2021-04-26 2.20.43
413;Andi Logi Official;Semangat Investasi buat kaum milenial;5;2021-04-14 16.58.23
414;Rian rian;Bagus untuk investasi;5;2021-04-13 10.01.44
415;Evi Julianti;Makin kesini makin kesal Uang pnjualan masuknya lama bngat;2;2021-04-07 8.44.08
416;Ichwanudin Isnan Iwan;praktis dan ga ribet;5;2021-03-29 4.30.32
417;Erik Saputro;Trial dlu klo bgus tak tambah bintang;4;2021-04-06 16.05.40
418;Ency Sukma Jatira;tambahn in fitur top up lewat dana dongg;4;2021-05-06 21.18.02
419;Josh Bolenk;Bagus banget dah...;5;2021-04-24 15.02.31
420;Muttaqien Wld;cocok buat investasi;5;2021-03-29 12.10.49
421;Arbi Isdianto;Kenapa tidak bisa dibuka yaa, minggu lalu saya download dan berhasil saya buka setelah itu saya hapus dan saya download ulang kemarin dan tidak bisa dibuka hanya nge stack di bagian logo bibit awal saja tolong dibantu;5;2021-03-13 4.53.13
422;Ismi Yati;baru nyoba 2 Minggu;5;2021-04-19 15.29.57
423;jaka Wahyudi;Kode REferral nya dong;1;2021-04-05 11.03.02
424;Belot Ilham;"Udah beli terus di ferivikas nya lama bgt sampe berhari"" di mohon untuk di perbaiki lagi jangan sampe nunggu berhari""di asese pembeliannya .. saya kasih satu bintang dulu kalo udah bener baru 5 bintang";1;2021-03-27 12.34.24
425;key liuwang;bisa belajar invest berasa jajan sih;4;2021-04-08 2.37.56
426;Sukses bejo Bejo;dicoba dulu sih;4;2021-05-11 17.47.07
427;Rini Mayasari;rekomrnded untuk invest pemula;3;2021-04-08 7.31.38
428;TB GR;tiap hri naik turun mlu, aneh;1;2021-04-27 6.44.50
429;Joko Anwar;Br mau invest kok mlh eror jar apk ny;3;2021-05-10 3.20.21
430;Manan Servis;Sayakasih 5 bintang;5;2021-04-19 20.21.46
431;rahmat rawuaten;Maju bersama sejahterah kan nasabah;5;2021-05-12 4.25.47
432;Saiful Mujab;Good Bener Nih Aplikasi Anak Jaman Now;5;2021-04-14 17.48.24
433;Budi chanel;mantap aplikasi bibit;5;2021-05-10 21.37.46
434;Ayu Mantrani;aku suka apk ini,;5;2021-03-29 22.54.21
435;Fatimah Azzahra;mudah dan terjamin;5;2021-04-11 2.47.45
436;Yusuf Frayoga;Saya mau bertanya kepada pihak @bibit seandainya sewaktu waktu aplikasi bibit atau perusahan bibit ini mengalami bangkrut atau hapus aplikasi itu nanti uang yg udh kita investasikan kita kumpul kan nanti akan seperti apa kebijakan nye sekian terimakasih;5;2021-03-19 3.42.28
437;Irvan Dumgair;Bagus nginvest disini;5;2021-04-14 22.14.13
438;ezhacha _;sukses selalu bibit;5;2021-03-27 1.54.47
439;Heri tohpati;baik terpercaya;3;2021-06-03 0.49.19
440;35_Adit Setiawan;Aplikasi nya sangat bagus;5;2021-04-08 6.25.42
441;Amru PLG;Sangat membantu keuangan;5;2021-04-05 9.49.04
442;Yulianti Ramadhan;aplikasi nya bagus ??;5;2021-03-28 2.03.21
443;Iyes Jr;baru nyoba bismillah;5;2021-04-06 14.40.43
444;saepul ishak;sangat bagus sekal;5;2021-04-06 23.43.14
445;Sisilia Jocelyn Limoa;Mantap buat pemula ????;5;2021-03-30 11.59.33
446;Misbah Munir;Ok untuk pemula copy kode reveral ucncwjq;4;2021-04-03 13.11.51
447;fikri firman firdaus;keren untuk pemula;5;2021-03-30 0.23.50
448;JKM chanel;masih tahap belajar;5;2021-03-29 13.02.50
449;yoyok hartoyo;Vara mudah utk mengenal reksadana;4;2021-04-28 2.02.46
450;Dari Codot;mantap buat pemula;5;2021-03-26 23.40.13
451;Naufal Arrofiq;Pencairan dana sangat ga jelas. Saya coba cairkan dana dari tgl 3 maret 2021 sampai sekarang belum juga di transfer. Tolong ini pertanggung jawabannya. Jangan sampe saya laporkan ke pihak yg berwajib;1;2021-03-14 9.56.02
452;Bekangdam XVI Pattimura Ridwan;Resiko cukup kecil;5;2021-04-07 10.58.59
453;aditrestu restuf;bagus untuk pemula;5;2021-04-09 11.16.45
454;Yanto Yanto;Bagus sekali;5;2021-06-04 18.51.08
455;Sandri Nababan;Kalau cuan aku tambah bintamg 5 ??;4;2021-04-11 14.42.59
456;Putri Puspo;bagus untuk pemula;3;2021-04-09 1.00.09
457;Rony hutabalian;kasih 3dulu masih pemula;3;2021-04-06 1.29.08
458;ora wae;kenapa ya kak aplikasi bibit sering sekali dengan tiba tiba logut dengan sendirinya dan itu bukan sekali duakali bahkan sering. saya pribadi sebagai pengguna reksadana bibit merasa kurang nyaman dengan hal itu harapan saya kedepanya semoga aplikasi ini lebih baik lagi. salam investasi bibit mantap trimakasih;2;2021-03-14 6.12.57
459;Cak kre familly;lumayan bwt tabungan;5;2021-05-12 11.46.11
460;kafemu 6;Layanan luar biasa;5;2021-04-06 4.35.34
461;Silvia Salsabila;ora faham,mlh rugi ....;5;2021-04-09 19.17.46
462;Hi_Naho;hmmm bagus sekali;5;2021-04-30 2.49.37
463;Agus Wae;Bagus untuk pemula;5;2021-04-03 15.19.40
464;Syarif Hidayatullah;mantap pelayanan ny;5;2021-04-06 15.28.52
465;Julfri Marbun;Yang saya tidak suka di bibit, untuk penjualan sangat sangat lama pencairannya. Saya harap ini PR besar buat bibit. Orang orang sekarang lebih suka yang instan.;2;2021-03-25 9.40.21
466;Irma Tanaiyo;mantap aplikasinya;5;2021-04-20 10.56.20
467;Dani Johar;pelan2 tapi pasti;5;2021-04-15 1.44.18
468;angger pangestu;Mending invest di bareksa dibanding disini duit selalu berkurang dan potongannya pun waw berbeda dengan bareksa pencairannya pun juga tidak memakan waktu yg lama seperti platform ini!;1;2021-03-23 3.22.04
469;Alex YB;rekomendasi buat pemula;5;2021-04-15 18.55.21
470;Jejen Jaenudin;membantu melatih kebiasaan menambung;5;2021-04-08 8.46.41
471;Muhammad Husein Mahfudz;buat pemula cocok;5;2021-04-25 22.17.07
472;Dian Silalahi;mantap dapat hasil;5;2021-04-15 7.22.30
473;Veri Sri Mulyono;Kalau bisa penarikan nya dipercepat jgn 7 hari kerja tapi 3 hari atau mungkin bisa lebih cepat lagi,karena investkan jg ada kebutuhan mendadak pas mau ambil ternyata lama hrus nunggu 7 minggu syarat dan ketentuan berlaku pula;3;2021-03-23 4.19.07
474;Nur Kodirun;Aplikasi yg bagus;5;2021-03-28 16.20.00
475;Syafiqa NR;bikin hidup lebih hidup;5;2021-03-30 23.39.47
476;Carudin Bae;cocok untuk pemula;5;2021-04-13 1.29.59
477;FIUS LIDYA, VELYN, VANDRA;mantap utk pemula;5;2021-04-14 14.54.24
478;sunday one_dp;Investasi terpercaya. lo nabung, lo untung... gak kenal rugi skuy lah nabung buat untung.. masukin kode refferal (yonokhehe) biar waktu udah registrasi dapet saldo tambahan :);5;2021-03-28 13.45.52
479;Bahrul Limis;mantap aplikasinya;5;2021-03-27 16.58.01
480;Bang Hasibuan;"App apa ini mau daftar no sudah terdaftar ,payahh.....,.padahal baru aja di instal .?*"""""""""""""""""""""""""""""""""""""""""" Gk remonen ,bagi yang blum jgan sampai dahhh...nyesal .";1;2021-03-15 18.35.17
481;Ariyanto;cocok untuk pemula;5;2021-04-29 22.51.18
482;Dharma sinyur;180493 kode referal;5;2021-03-30 12.18.54
483;Adi Mulyadi;3 dulu boss...;3;2021-04-15 2.53.25
484;Yuki Fey;Giliran beli cepet banget diproses, tapi pas jual lama banget prosesnya . Bisa sampe 10 hari baru prosesnya selesai. Enak sih ga ribet apknya mudah dipahami, tp gak deh. Kalau mau jual saham lama banget prosesnya keburu berjamur.;3;2021-03-01 8.07.38
485;Rahmad Ramadhan;Kode refferal bibit bonus 25k: tahunhebat;5;2021-04-20 4.39.35
486;Agung SR;tambah fitur batalkan pesanan biar kalau tidak dapat cashback gopay bisa saya batalkan sendiri gak usah nunggu dibatalin sistem. ntar kalo diwujudkan saya tambah bintangnya. sukses terus buat bibit jgn bosen buat ngasih banyak cashback.;4;2021-03-13 3.11.32
487;Nugie Valdizaktie;"GW NGELAKUIN TRANSAKSI SELL... ""PENCAIRAN 7 HARI BURSA"" KATANYA??? GW 1 BULAN COOKK GK MASUKý KE REKENING!! (3 FEBRUARI PENCAIRAN DIMULAI) SAMPE SEKARANG GK MASUK REKENING DANA KECIL AJA KGK JELAS KEMANA LARINYA.... APALAGI DANA JUTAAN, PULUHAN JUTA, MILYARAN. MAKAN TUH DUIT HARAM!!";1;2021-03-14 0.25.38
488;Bagas B;Belajar menabung;5;2021-03-27 4.24.04
489;Ariati Baiq;belajar investasi;5;2021-05-05 5.31.39
490;Ragil Indra;Pelayanan bagus banget, fast respon tim bibitnya, KTP sudah gak keliatan NIKnya biasanya di aplikasi lain gabisa daftar sama sekali tapi disini bisa dibantu sama tim bibitnya;5;2021-03-20 2.58.52
491;Yusuf Andrian;cocok bagi pemula;4;2021-04-30 14.42.59
492;kurniawan ardiansyah;fokus masa depan;5;2021-04-09 14.52.41
493;Daniel Akhyar;nyaman gak ribet;5;2021-04-06 3.59.33
494;Zainal arifin;Mantapp,jadi semangat invetasi;5;2021-04-07 8.26.26
495;Deni Probo S;Mudah di pahami;5;2021-03-28 15.48.51
496;Pit Stop;Pass buat pemula;5;2021-04-19 14.00.29
497;Indra Minang Putra;""" singa "" kode refeal casback 25k";5;2021-04-14 4.48.17
498;Chanel Gokil878;keren dan mudah;5;2021-04-08 23.49.12
499;Shoim Lukmanul Hakim;sangat memuaskan;5;2021-04-09 0.28.35
500;matthew adiday;bagus aplikasinya;5;2021-04-17 3.12.46
501;ismail benawa;Oke peningakat aplikasi;5;2021-04-13 13.29.14
502;putri cantik;aplikasi bagus dan sangat mudah di pahami /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////// mari yang baru gabung masukan kode di atas, terima kasih !!!!!!!!!!!!!!!!!!;5;2021-03-18 12.22.09
503;Sachroni Duryat;Mudah dipahami;5;2021-04-13 13.04.46
504;Hetler 05;Bagus banget emmmm;5;2021-04-13 9.36.49
505;Arief Luby;bagus aplikasinya;5;2021-03-28 12.20.11
506;Z.N.H Chennel;Nob lama pencairan lama bli juga lama jaman sekarang msih lemot2;2;2021-04-24 3.12.48
507;elang sea;investasi bibit emng joss...????;5;2021-04-05 23.30.20
508;Handika Aldiran S;Kenapa ya, Pdhl sy baru donwload nih aplikasi... Dan blm pernah make sama sekali tp pas Register, No HP saya sudah di gunakan;1;2021-03-13 5.46.46
509;Alfian Dharmawan;sejauh ini bagus ??????;5;2021-05-06 7.00.04
510;Sinyoosss chanel;sambil belajar;5;2021-03-30 3.59.02
511;Dedin Diyanto;mudah digunakan;4;2021-04-15 12.52.36
512;FADILLA CHANNEL;masih memantau;5;2021-03-29 12.47.09
513;D' Putra Impossible;saya sangat suka ??;5;2021-04-07 15.49.39
514;Opor Pisang;Aplikasi bibit bagus dan banyak pilihannya.. Tetapi,, kenapa ya.. semakin hari, bibit kok semakin mengapa penurunan performa.. seperti Penjualan Unit Reksadana saya dalam beberapa Minggu terakhir,, banyak yang harus melewati batas waktu yang ditentukan dan status nya masih menunggu verifikasi... Itu pun saya harus komplain dulu ke CS bibit..begitu juga dengan pencairan reksadana saya harus menunggu lebih dari 7 hari sejak penjualan reksadana saya berhasil.. Mohon dibenahi kak. Terima Kasih.;4;2021-01-06 20.44.52
515;Aloysius Atos K;Mantap aplikasinya;5;2021-04-08 5.56.22
516;siti maryam;Aplikasinya bagus. Hanya saja saat pembayaran menggunakan Linkaja sering keluar. Mohon diperbaiki lagi demi kenyamanan.;4;2021-04-05 23.52.37
517;Paulus Widi 019;mantap dan oke;5;2021-05-05 13.08.34
518;Yayang Permana;Sangat membantu;5;2021-04-08 23.01.13
519;FootBall Skills;sangat menarik;5;2021-03-26 15.24.44
520;aurora nola;sangat membantu;5;2021-03-29 4.51.47
521;Seswanto Wanto;sangat membantu;5;2021-04-11 23.33.18
522;Wakjimang 21;sangat membantu;5;2021-03-27 1.06.23
523;infestor muda;blum pasti sih;5;2021-04-06 2.22.29
524;Alfian Riyono;sangat membantu??????;5;2021-04-26 6.06.14
525;dian pratiwi wahyuddin;Pertama kali coba bibit dan itu sangat sngat mengecewakan. Apalagi dari pelayanannya. Ini aplikasi kalau ada sedikit saja salah pembayaran, buat refund dana itu ribet sekali. Bukan cuman ribet. Tapi adminnya mungkin yang kurang peduli sama uang pengguna. Jangan karena bibit di promosikan sama artis2 jadi mau seenaknya dan merasa sudah di langit. Dan tolong kepada bibit, HAPUS DATA DATA SAYA.;1;2021-01-04 7.35.33
526;Jr Rizky;Sekitaran hampir dua bulanan pake bibit,seneng banget investasi disini,cocok buat pemula kayak saya,sedikit masukan untuk bibit,tolong dong tambahin lagi metode pembayarannya,kayak masukin dompet kayak dana,shopeepay dan lainnya supaya lebih lengkap,dan satu lagi,ayo dong tambahin jenis investasi lain juga,jadi nggak cuma reksadana aja,tambahin produk kayak SBN,atau saham,emas,crypto dll,,selebihnya udah keren banget aplikasi bibit;4;2021-02-22 14.27.08
527;Guteh Fernando;sangat membantu;5;2021-04-07 1.53.07
528;Novi Amir;bibit good investasi;5;2021-03-25 3.43.13
529;Hamdani hamdan;sangat membantu;5;2021-04-15 8.36.27
530;Luff Atha;kok saya mau daftar masukin nomor katanya nomor sudah terdaftar?? perasaan saya gapernah daftar di bibit????;1;2021-03-24 6.58.15
531;Kevin Surya;"Sangat bagus untuk pemula, dan buat kalian yg baru download masukkan kode referral ""backtoyou"" buat dapetin cashback hingga Rp. 25.000,- Salam sukses ??????";5;2021-03-29 7.46.33
532;Ahmad Elpandora;di coba dulu;5;2021-04-08 13.37.39
