;userName;content;score;at
60;khaleefah sidik Italiyana;Masukan kode referral ini zomvcrb kawan untuk mendapatkan cashback 25000;5;2021-04-08 4.51.17
61;Rian Faro;Bagus aplikasi nya.. Sangat membantu masukan riferal errtlax;5;2021-04-08 1.24.58
62;Afla Kurniawan;Mantap lah memang bagi yang bersabar??;5;2021-05-17 10.33.35
63;Zulfikar Sultoni;Hebat,,,abis top up gak bisa di buka lagi;1;2021-04-08 5.56.32
64;Aripin Chanel;investasi dari sekarang buat nikah nanti wkwk;5;2021-04-17 10.38.02
65;Gilang Ramdhan Guntoro;mantappsss.... terus ada sampe cicit cicit saya nabung juga;5;2021-03-28 12.04.27
66;Habibi Abdul Azis;Ini gimana min masa time out Mulu si pas mau masuk;1;2021-04-24 22.21.49
67;the grepes;Hubungin ke gopay aja gk bisa-bisa;1;2021-05-10 2.45.03
68;Amri Edi;Untuk para pemula main saham bibitlah tempatnya;5;2021-03-30 4.58.02
69;MUHAMAD NURSAMSUL;Bagus, tapi updetan NAV terlalu lama harus nunggu jam 22.00wib;3;2021-04-01 15.04.02
70;Auliano Reza;sekarang lebih mudah dalam melakukan pembayaran;5;2021-04-09 2.32.25
71;Nur huda;Bagus appnya kadang suka buat deg deg kan;5;2021-05-15 3.45.43
72;MUH HIDAYAT N LATOLIMBO;semoga kedepannya menjadi milioner .. amiin;5;2021-04-21 2.41.11
73;Ageng Prasetyo;Sangat membantu utk mencapai financial goals;5;2021-04-14 10.18.06
74;AA Adit;Tunggu ada lewat DANA baru saya mulai invest..;2;2021-04-05 13.01.26
75;Pak dhe official;Gimna sih mau investasi kok gak bisa lama bnget;1;2021-04-16 3.23.58
76;Eka Putri;masih belajar.. jd sy kasih 3 bintang dulu??;3;2021-05-08 0.02.17
77;Mas Aji;sukses kedepannya, lebih banyak pengikut;5;2021-04-08 4.20.28
78;Faisal sibarani;keren, mantul, dan asyik berinvestasi di bibit..;5;2021-04-05 23.17.36
79;Nur Hani;"Mantap coba referral aku ""Zahraalif"" Dapat bonus 25000 hayo buruan dowload buat invest";5;2021-04-08 13.00.47
80;Agung Hermawan;bagus untuk melatih masyarakat berinvestasi;5;2021-04-07 22.05.36
81;Bossventure Agustina Lo;Kalo mau daftar pake link aku aj ya elysia246.terimakasih;5;2021-04-11 16.35.13
82;Lani Wulansari;sangat mudah untuk berinvestasi bagi pemula;5;2021-04-23 14.24.51
83;Kharis Marma;lumayan penambahannya dengan tabungan sedikit sudah dapat bunga;5;2021-04-02 11.36.01
84;Rio Prisha;Ada yg bisa ngajarin ngga cara pengunaanya;4;2021-04-09 9.23.55
85;Irvan Tonkou;3 aj dulu,soal nya masih pemula;3;2021-05-14 13.57.18
86;Faktur Rohman;Mudah2an banyak bermanfaat bagi semua orang;5;2021-04-07 16.49.20
87;Iwayan Sumerata;aplikasi bagus buat nabung untuk masa depan;5;2021-04-07 3.18.09
88;Ammar Khocan;sangat cocok untuk yg baru mulai Investasi;5;2021-03-31 0.08.37
89;Charis Muzakki;Sangat cocok bagi pemula yang baru belajar investasi;5;2021-04-20 15.04.28
90;Mc_ Mudrik;Kok gk bisa daftar akun, aneh;1;2021-05-11 21.11.19
91;ainul muttaqin;sering keluar sendiri dan susah login lagi;2;2021-04-02 12.44.53
92;Gecky Becaneur;bagus,,, untuk yg mau nabung,,,;5;2021-04-22 22.41.24
93;Bintang TV;Invest yg menjanjikan cok di tinggal tidur auto cuan gede;5;2021-06-03 2.56.18
94;Asa Mahsyar;Tolong dong top up nya pake sh*peepay jg,;4;2021-04-27 13.06.24
95;Ramdon Jaya;Tolong dongk bibit kok saya mau pembayaran lewat gopay lg kga bisa knapa,,tlong perbaiki dan penjelasannya;3;2021-04-01 10.29.50
96;Mirza Abdul hakim;aplikasi simpel mudah d pahami bagi pemula;5;2021-04-11 23.23.39
97;hari wahyudi;aplikasinya mudah dipahami dan ????;5;2021-05-18 15.29.51
98;Erfeno Tahara;Bagus untuk pemula dan g ribet;5;2021-05-09 18.12.59
99;Alex sander;Kebanyakan ruginya ini aplikasi investasinya turun trs?;1;2021-05-03 10.11.14
100;Abdul Liman;Sangat memuaskan... Ayo mulai investasi;5;2021-04-13 10.26.34
101;nofitasari damayanti Karini;sangat membantu,aplikasi mudah dipakai;5;2021-04-06 23.25.27
102;Muhtar Nie;semoga dan semoga;5;2021-05-31 19.17.36
103;Wahyu Suprapteyasa;bagus dan sangat membantu dalam finansial;5;2021-03-28 1.37.51
104;I Gusti Eka Putri Dewi Nitya;keren bgt buat yg baru belajar investasi;5;2021-04-07 4.16.58
105;Andra 09;Dapatkan 25.000 dengan kode, pastimapan;5;2021-03-31 9.41.09
106;Aqsa Al Fitri;Mantap semoga dapat membantu bagi pemula ??;5;2021-04-20 1.39.18
107;Muhammad Nur Hamsa;Tidak menjawab pertanyaanku di email?;1;2021-04-11 14.22.22
108;iwan SH;?coba dulu,apakah aplikasi memuaskan atau bagaimana;5;2021-04-13 23.51.31
109;wd Chandra;Nyoba pake ..karna om dedi yng ngjakin klo bukan dia mh ...hmmm gk tau deeh;2;2021-04-05 10.44.54
110;Hanggayughma Ajaaa;Aplikasi invest yang cocok dengan pemula;5;2021-04-08 14.00.14
111;irwan gendut;Saya kasih bintang lima dulu semoga amanah;5;2021-04-17 17.01.12
112;Rosita agustin;semoga semakin bagus ke depannya bibittt;5;2021-04-08 5.31.25
113;Kanaria __;aplikasi yg bermanfaat bagi yg mengerti;5;2021-04-08 1.49.51
114;titis handayani;Tempatnya belajar investasi bagi pemula;5;2021-04-15 20.41.49
115;Ali Fattah;Tlong di tambahin fitur robo khusus syariah untuk teman2 yg msh ragu;3;2021-05-06 3.45.33
116;Ratno G Nugroho;Saya bangga dengan App ini. Terima kasih.;5;2021-04-09 1.50.33
117;rita soong;Bagus, dr 10 ribu pun bisa investasi;5;2021-04-14 8.07.41
